tweet_id,annotator1,annotator2,annotator3
1551176651618361344,negative,negative,positive
1551171295513088001,negative,negative,neutral
1551111412919017472,negative,negative,negative
1551006970638893057,negative,positive,positive
1550999882038743040,negative,negative,negative
1550946035488415747,neutral,negative,neutral
1550937597685469184,negative,neutral,neutral
1555941201009836032,positive,positive,positive
1555912181778206726,positive,positive,positive
1555912046666997761,negative,negative,positive
1550932970399227905,negative,negative,positive
1550916756234960896,positive,neutral,positive
1550892190615887878,negative,neutral,positive
1550885934912126976,neutral,neutral,neutral
1550780780661678081,negative,negative,negative
1550743800095686657,negative,positive,positive
1550617346095685632,positive,neutral,neutral
1555933486799798275,negative,negative,negative
1555969924912357379,positive,positive,positive
1550608802541862913,negative,negative,negative
1550584727089909761,positive,positive,positive
1550580223145648131,negative,negative,positive
1550577125643649024,negative,negative,positive
1550546918824185858,negative,positive,positive
1550534992324726785,negative,neutral,negative
1550527798451863555,negative,neutral,negative
1553893494003040256,negative,negative,negative
1554090457864478720,positive,neutral,neutral
1554071802841817088,negative,negative,negative
1554073096516141058,negative,negative,negative
1554071140141760515,negative,negative,negative
1554054020007870464,negative,negative,negative
1554052847481880577,positive,negative,negative
1554032034938601472,negative,neutral,negative
1554016586188685312,negative,negative,neutral
1554012273332654080,negative,negative,negative
1553934681011257344,negative,negative,neutral
1550821303921348608,neutral,neutral,positive
1556259867173724160,neutral,positive,positive
1556234593786908674,positive,positive,positive
1556227006026612736,positive,positive,positive
1556217630536654848,positive,positive,positive
1556295601989586944,positive,positive,positive
1556163621176197121,positive,positive,positive
1556294553296068610,positive,positive,positive
1556294435209711622,positive,positive,positive
1556322222012235778,positive,positive,positive
1556339897203654659,positive,positive,positive
1556178973515710465,negative,negative,positive
1556129754419527680,positive,positive,positive
1555522642094030850,positive,positive,positive
1559933373581328390,positive,negative,negative
1556366774597296131,positive,positive,positive
1559080232740593664,positive,positive,positive
1558786605661691904,positive,neutral,positive
1558896764664545281,positive,positive,positive
1557419521048207360,positive,positive,positive
1557361180120911872,positive,positive,positive
1557348964508262400,positive,positive,positive
1556918092550250496,negative,positive,neutral
1556726155805351936,negative,positive,positive
1556696769697927172,positive,positive,positive
1556436677631086592,positive,positive,positive
1556419641894965248,positive,positive,positive
1556413602185330688,positive,positive,positive
1555108496265416709,positive,positive,positive
1555141590515081217,positive,positive,neutral
1555108991470026752,neutral,neutral,neutral
1555096615601438720,positive,positive,positive
1554969583618068481,positive,neutral,positive
1554968076319428609,negative,negative,neutral
1555155986167595008,positive,positive,neutral
1555184979981869056,positive,neutral,positive
1555218763234136067,positive,positive,positive
1555147702245249024,positive,neutral,positive
1559641292078039041,negative,negative,negative
1559526157904666624,negative,negative,negative
1559517488450240512,negative,neutral,positive
1555298235866316801,positive,positive,positive
1555297211851935744,negative,negative,positive
1555290721212588032,negative,negative,negative
1555289050768089089,negative,negative,negative
1559197543279595522,negative,negative,negative
1555316710114205705,negative,negative,negative
1555360983337648130,positive,positive,positive
1555497609590198272,negative,negative,positive
1555475704871100416,negative,negative,neutral
1555510062310899714,positive,neutral,positive
1555508862542684165,positive,neutral,positive
1555510062310899714,positive,neutral,positive
1555508862542684165,positive,neutral,positive
1555835107323383808,negative,negative,positive
1555676462069465088,negative,negative,positive
1555673220879097856,negative,negative,negative
1558797523116072960,negative,negative,negative
1555894416312881153,positive,neutral,positive
1555933426720595975,positive,positive,positive
1558748005259530241,positive,negative,negative
1556016951092297730,positive,positive,positive
1558544272214970368,negative,negative,negative
1558520763250053121,negative,negative,positive
1556038723690708992,negative,negative,positive
1556031584163225617,negative,negative,negative
1556038723690708992,negative,negative,negative
1556031584163225617,negative,negative,negative
1556234421384220672,negative,negative,negative
1556229738670309379,positive,positive,positive
1558109786780082184,negative,negative,negative
1557435319754100737,negative,negative,negative
1556369566254735366,neutral,neutral,positive
1556620278859550721,neutral,neutral,neutral
1556822897745973254,positive,positive,positive
1557411753667043329,negative,negative,negative
1557310750275796994,negative,neutral,positive
1557310392803753984,negative,neutral,negative
1557125162776100868,negative,negative,negative
1557117490081239041,neutral,negative,negative
1557105428416323584,negative,negative,negative
1557097022385168384,negative,negative,negative
1557051271831588865,negative,negative,negative
1557029858055798786,negative,negative,negative
1557029230558461959,negative,negative,negative
1557021689732554753,positive,negative,negative
1556994003995860992,negative,negative,negative
1556978057902231552,negative,negative,negative
1556809562497376263,positive,negative,negative
1556784076434149378,positive,negative,negative
1556780741547249665,negative,positive,positive
1556729697781923842,negative,negative,negative
1556648123686060034,negative,negative,negative
1556632899411124224,negative,negative,negative
1556547328168927233,negative,negative,negative
1556420127654121476,negative,negative,negative
1557068037571878912,neutral,negative,negative
1556983721886089216,negative,negative,negative
1557114149502652420,negative,neutral,neutral
1556920421206958081,negative,neutral,positive
1556912749082443776,positive,neutral,positive
1556892150469648384,positive,positive,positive
1556831582039719936,neutral,neutral,neutral
1557136210753101824,negative,neutral,neutral
1557340689410793472,negative,negative,negative
1557407972732686336,positive,negative,neutral
1557444963624951808,negative,neutral,positive
1554088160744935427,negative,negative,positive
1554064895666229249,neutral,neutral,neutral
1553988002497675264,negative,negative,negative
1553892820146061312,negative,neutral,negative
1553885817067667456,negative,negative,negative
1553787335199817730,negative,negative,neutral
1553742421258805250,negative,negative,neutral
1553708504669642758,positive,positive,neutral
1553502933123317760,negative,negative,negative
1553489973243953152,negative,negative,negative
1553090473895534592,negative,negative,negative
1553077434307813380,negative,negative,negative
1552783229400371200,negative,negative,negative
1552632336575086593,negative,negative,neutral
1552871847120748548,negative,negative,negative
1552632336575086593,negative,negative,neutral
1552799568034676736,negative,neutral,neutral
1552788406538739712,negative,neutral,neutral
1552725429525659648,positive,negative,negative
1552714133996556294,positive,neutral,neutral
1552689345341132803,negative,negative,neutral
1552562146927693824,negative,negative,neutral
1552469017830514688,negative,negative,negative
1552435744555339778,negative,negative,negative
1552388229227241472,negative,negative,negative
1552375269478043648,positive,negative,negative
1552346660898062336,negative,negative,negative
1552327143874613248,negative,negative,negative
1552285825370832896,negative,neutral,neutral
1552277700274003969,negative,negative,negative
1552277040874901504,negative,neutral,neutral
1552273222548312067,negative,negative,negative
1552270916201189376,negative,neutral,neutral
1552257454280523776,positive,neutral,neutral
1552220314448297985,negative,neutral,neutral
1552094635585069063,negative,negative,negative
1552002720797806592,negative,negative,neutral
1551984089829343232,negative,negative,neutral
1551889679993241601,negative,negative,neutral
1551865816450220033,negative,neutral,neutral
1551810333785968640,negative,negative,neutral
1551710614015336449,negative,negative,negative
1551688176611336192,positive,neutral,neutral
1551536208207089664,negative,positive,negative
1551514206188589056,negative,negative,negative
1551329438310309889,positive,positive,positive
1551322558330507264,negative,neutral,positive
1551296225667944448,negative,negative,negative
1551229985809219585,negative,negative,negative
1551214199082291202,negative,negative,positive
1551132254679842820,negative,positive,positive
1550985335215120387,negative,negative,neutral
1550979538183720960,negative,negative,positive
1550872230283952128,negative,negative,negative
1550961370715267074,negative,negative,negative
1550953660628213760,negative,positive,positive
1550929291491278848,positive,positive,positive
1550902856491974659,negative,negative,negative
1550894245669658626,negative,neutral,neutral
1550810217511895041,negative,negative,neutral
1550801614230921216,negative,negative,neutral
1550580681989918721,negative,negative,neutral
1550571990179880961,negative,negative,positive
1550568692085399558,negative,negative,positive
1550566682007162882,negative,negative,negative
1550546237539389440,positive,positive,neutral
1554106268650020864,negative,negative,negative
1553864158571073538,negative,negative,negative
1552208440981917697,negative,negative,negative
1552200308020879360,negative,negative,negative
1552065583717523457,negative,negative,neutral
1552061934144552960,negative,negative,neutral
1552023912355078147,negative,positive,neutral
1551124828064735232,positive,neutral,neutral
1550866643882049536,negative,neutral,positive
1550581676161523713,negative,negative,neutral
1558082824355418112,negative,negative,negative
1558063125311754243,positive,positive,negative
1558025572990738432,positive,negative,negative
1558018513389993984,neutral,neutral,neutral
1557881217776816128,positive,negative,neutral
1557872915055509504,negative,positive,positive
1557845514854420480,negative,neutral,neutral
1557803552839536645,negative,negative,neutral
1557790827451240448,negative,neutral,positive
1557787484402114560,negative,positive,positive
1557777476771844096,negative,negative,positive
1557767053498515457,positive,positive,positive
1557766486000902144,neutral,positive,positive
1557722325771902977,positive,positive,positive
1557710980657856513,negative,positive,negative
1557505489709277186,negative,negative,negative
1557485912916893697,positive,positive,positive
1557451728966017025,negative,negative,neutral
1546505324533882880,negative,positive,neutral
1546495191879761920,positive,positive,positive
1546494483105288192,positive,positive,positive
1546489658896523264,positive,positive,positive
1546444898534133760,positive,positive,positive
1546436128068276224,positive,neutral,neutral
1546210420893130752,neutral,neutral,neutral
1546110156697735170,neutral,negative,positive
1545880056702148608,negative,negative,negative
1545865366223585280,negative,negative,negative
1544991156253212672,positive,positive,positive
1544801782144110594,negative,negative,negative
1544790387105140737,negative,positive,negative
1544416600895279104,negative,negative,positive
1543934650653065216,positive,positive,positive
1543884169268416512,positive,positive,positive
1546552864201392129,positive,positive,positive
1546518192427778049,positive,positive,positive
1546568125704962050,negative,positive,positive
1546567272986288128,negative,neutral,positive
1546558959070453760,negative,negative,neutral
1546557536479895552,negative,negative,neutral
1546553042656542721,neutral,neutral,positive
1546551039725371398,negative,neutral,positive
1546550575919161347,negative,neutral,neutral
1546549390525038593,negative,neutral,neutral
1546548783047217152,neutral,neutral,neutral
1546544063272595457,negative,neutral,neutral
1344296484641136641,negative,neutral,neutral
1546551473424814081,negative,neutral,neutral
1546541567644782592,negative,neutral,positive
1546535759179653121,positive,negative,negative
1546535756675645441,positive,negative,negative
1546533208325595136,negative,neutral,neutral
1546531069557620736,neutral,negative,neutral
1546514499347398659,negative,neutral,neutral
1546490431881494528,negative,negative,negative
1546429634467827712,neutral,neutral,neutral
1546155992269967360,positive,positive,positive
1546403028361777152,positive,positive,positive
1546365752894267392,positive,positive,positive
1546244869504499715,negative,negative,negative
1546231220941512707,positive,neutral,positive
1546218142258659329,positive,neutral,neutral
1546550059969437696,negative,neutral,neutral
1546545148208750592,negative,negative,neutral
1543319879889174533,positive,positive,positive
1546543675408322563,negative,negative,neutral
1546543441710129164,negative,neutral,positive
1546528082340741122,negative,negative,neutral
1546522470878007297,negative,negative,negative
1546522147627192320,neutral,neutral,neutral
1546521193884385280,neutral,neutral,positive
1546521084085796867,negative,negative,negative
