words,sentiment
burgesu,POSITIVE
alhamdulillahi,POSITIVE
jajirtattun,POSITIVE
goyon baya,POSITIVE
tubarkalla,POSITIVE
sheki,POSITIVE
bulbul,POSITIVE
yapi,POSITIVE
lafiyayye,POSITIVE
yafika,POSITIVE
dauki,POSITIVE
sonka,POSITIVE
ranka yadade,POSITIVE
ta gari,POSITIVE
alkahiri,POSITIVE
ma sha allah,POSITIVE
haske,POSITIVE
amfanan,POSITIVE
jikanka,POSITIVE
haskaka,POSITIVE
tabbataciyar,POSITIVE
nasiha,POSITIVE
dafatan,POSITIVE
gwani,POSITIVE
anfika,POSITIVE
sunfi,POSITIVE
sonta,POSITIVE
soyayyar,POSITIVE
gudumuwar,POSITIVE
yabasu,POSITIVE
cetosu,POSITIVE
dogara,POSITIVE
iyawa,POSITIVE
sauki,POSITIVE
daidaita,POSITIVE
adali,POSITIVE
jankwarzo,POSITIVE
gyarata,POSITIVE
yanason,POSITIVE
cigaban,POSITIVE
rikon amana,POSITIVE
dadtaku,POSITIVE
kyautata,POSITIVE
basirar,POSITIVE
jaddada,POSITIVE
nafison,POSITIVE
kwar jini,POSITIVE
brk,POSITIVE
raya,POSITIVE
aurenta,POSITIVE
alfarmar,POSITIVE
hidima,POSITIVE
rabo,POSITIVE
birge ni,POSITIVE
in sha aallah,POSITIVE
lashe️,POSITIVE
alhmdullh,POSITIVE
jarumi,POSITIVE
kishin kasa,POSITIVE
sadaka,POSITIVE
kaunarka,POSITIVE
soyayyarka,POSITIVE
biyaka,POSITIVE
farar aniya,POSITIVE
albarkacin,POSITIVE
aljannah,POSITIVE
amfaninta,POSITIVE
lumi lumi,POSITIVE
soyyaya,POSITIVE
kauwnaki,POSITIVE
azurtamu,POSITIVE
tarawa,POSITIVE
inshaallah,POSITIVE
murnar,POSITIVE
tayaki,POSITIVE
jajirtattu,POSITIVE
salihan,POSITIVE
rahamar,POSITIVE
daukin,POSITIVE
kawowa,POSITIVE
gaggawa,POSITIVE
amiin,POSITIVE
rahmar,POSITIVE
koya,POSITIVE
aurenki,POSITIVE
inasonki,POSITIVE
dakyau,POSITIVE
zasuyi,POSITIVE
darasi,POSITIVE
yayimana,POSITIVE
gaskiyan,POSITIVE
mudace,POSITIVE
jiƙan sa,POSITIVE
namu,POSITIVE
gaba,POSITIVE
yakikaye,POSITIVE
gafartawa,POSITIVE
lapiya,POSITIVE
tsawon kwana,POSITIVE
kwanciyar hankali,POSITIVE
kyawunki,POSITIVE
alfaharin,POSITIVE
huta,POSITIVE
aameen,POSITIVE
samo,POSITIVE
yan gatan,POSITIVE
hazikai,POSITIVE
fata,POSITIVE
dabaru,POSITIVE
zarata,POSITIVE
fiye,POSITIVE
munabayanka,POSITIVE
zakuci,POSITIVE
turowa,POSITIVE
sarauniya,POSITIVE
inasan,POSITIVE
kyuata,POSITIVE
kayatar,POSITIVE
kallo,POSITIVE
kakare,POSITIVE
alkhari,POSITIVE
maauratan,POSITIVE
samesu,POSITIVE
kyautar,POSITIVE
burina,POSITIVE
inason,POSITIVE
nutsuwa,POSITIVE
munaso,POSITIVE
jagorancin,POSITIVE
jindadin,POSITIVE
alhéri,POSITIVE
hada kai,POSITIVE
dubasa,POSITIVE
godewa,POSITIVE
nafi,POSITIVE
mukami,POSITIVE
dacewa,POSITIVE
sukafi,POSITIVE
zuria,POSITIVE
inayinki,POSITIVE
zuwa,POSITIVE
kuluwaa,POSITIVE
martaba,POSITIVE
cinyewa,POSITIVE
dubi,POSITIVE
angaishe,POSITIVE
sannun,POSITIVE
yakyautata,POSITIVE
yajikansu,POSITIVE
gwara,POSITIVE
masoyi,POSITIVE
gafara,POSITIVE
tallafa,POSITIVE
shaawar,POSITIVE
tareda,POSITIVE
arxiki,POSITIVE
yardan,POSITIVE
tamuce,POSITIVE
yaci gaba,POSITIVE
hore,POSITIVE
siya,POSITIVE
aci gaba,POSITIVE
kyakyawa️,POSITIVE
godiyan,POSITIVE
niimarsa,POSITIVE
yanaji,POSITIVE
agaji,POSITIVE
sungode,POSITIVE
addini,POSITIVE
kulaki,POSITIVE
aminci,POSITIVE
yabaiyanashi,POSITIVE
gskia,POSITIVE
madaukakin,POSITIVE
santa,POSITIVE
anfane,POSITIVE
sani,POSITIVE
shirin,POSITIVE
jiqanta,POSITIVE
yaji ƙanku,POSITIVE
limami,POSITIVE
yadawo,POSITIVE
gaida,POSITIVE
nagode,POSITIVE
ciyo,POSITIVE
bude,POSITIVE
auren,POSITIVE
mugama,POSITIVE
arziqi,POSITIVE
yarjejeniyar,POSITIVE
alqawari,POSITIVE
inayinka,POSITIVE
ganawa,POSITIVE
sawwake,POSITIVE
mugani,POSITIVE
hura,POSITIVE
muntara,POSITIVE
tausaya,POSITIVE
yakeson,POSITIVE
agaskiya,POSITIVE
rawa,POSITIVE
rayaku,POSITIVE
citta,POSITIVE
auranta,POSITIVE
ataimaka,POSITIVE
kabata,POSITIVE
maiisonki,POSITIVE
daukowa,POSITIVE
kifi,POSITIVE
barkanmu,POSITIVE
yanci,POSITIVE
kyakykyawan,POSITIVE
armashi,POSITIVE
dadinku,POSITIVE
yin ki,POSITIVE
anfana,POSITIVE
dayafi,POSITIVE
inson,POSITIVE
rupa,POSITIVE
yatabbatar,POSITIVE
afuwa,POSITIVE
mungode,POSITIVE
maadallah,POSITIVE
mafificiyar,POSITIVE
rabamu,POSITIVE
giwa,POSITIVE
zaiyi,POSITIVE
kalle,POSITIVE
biyaa,POSITIVE
majidadin,POSITIVE
acigaba,POSITIVE
koshin lafiya,POSITIVE
rokonka,POSITIVE
yamaida,POSITIVE
kabamu,POSITIVE
sonmu,POSITIVE
tafisu,POSITIVE
halatta,POSITIVE
koyama,POSITIVE
kuyi,POSITIVE
naso,POSITIVE
kawayen,POSITIVE
mori,POSITIVE
fadakar,POSITIVE
munayinka,POSITIVE
nasararce,POSITIVE
awanye,POSITIVE
bukatan,POSITIVE
muradin,POSITIVE
fari,POSITIVE
tsapta,POSITIVE
soki,POSITIVE
zanbaki,POSITIVE
kicigaba,POSITIVE
goyan bayanka,POSITIVE
tayar,POSITIVE
tsareka,POSITIVE
yasakawa,POSITIVE
aljannan,POSITIVE
kadanje,POSITIVE
aurenkie,POSITIVE
shiryaki,POSITIVE
yaji qanshi,POSITIVE
kinfikyau,POSITIVE
sahannu,POSITIVE
daura,POSITIVE
yanaso,POSITIVE
akaso,POSITIVE
maikyau,POSITIVE
ribar,POSITIVE
anshaa,POSITIVE
gyaran,POSITIVE
fahimtan,POSITIVE
ci gaban,POSITIVE
mafificin,POSITIVE
arzuki,POSITIVE
biyyayya,POSITIVE
nunawar,POSITIVE
alfahrin,POSITIVE
rayu,POSITIVE
na gode,POSITIVE
alhmdllh,POSITIVE
sonji,POSITIVE
tasaka,POSITIVE
yatemaki,POSITIVE
zakizo,POSITIVE
mekyau,POSITIVE
daukinsa,POSITIVE
karuwar,POSITIVE
madallah,POSITIVE
mutuncinka,POSITIVE
nemo,POSITIVE
gyaruwa,POSITIVE
ja zamanin,POSITIVE
albarkar,POSITIVE
nagartar,POSITIVE
tsawon rai,POSITIVE
kinkoma,POSITIVE
ji kan,POSITIVE
haskka,POSITIVE
rahamarsa,POSITIVE
kyawu,POSITIVE
mashaallah,POSITIVE
anbude,POSITIVE
kusanci,POSITIVE
warakar,POSITIVE
dada,POSITIVE
yinki️,POSITIVE
tashe,POSITIVE
taje,POSITIVE
aljannar,POSITIVE
biyayya,POSITIVE
ayyuka,POSITIVE
kyawawan,POSITIVE
yashirye,POSITIVE
mutuncinki,POSITIVE
halal,POSITIVE
gayamasa,POSITIVE
dagewa,POSITIVE
shiryemu,POSITIVE
tsarki,POSITIVE
gyaramu,POSITIVE
isar,POSITIVE
shawartarku,POSITIVE
yadace,POSITIVE
yan uwanki,POSITIVE
tarbiyya,POSITIVE
ashuka,POSITIVE
tabiye,POSITIVE
dazakiyi,POSITIVE
shiryar,POSITIVE
taci,POSITIVE
shagalin,POSITIVE
kwarin gwiwa,POSITIVE
karbar,POSITIVE
alkayri,POSITIVE
rahamshesu,POSITIVE
jidadi,POSITIVE
tarbiyar,POSITIVE
anfani,POSITIVE
ma shaa allah,POSITIVE
mamaye,POSITIVE
shiriye,POSITIVE
cancanta️,POSITIVE
yadaukaki,POSITIVE
jazakallah,POSITIVE
nafarko,POSITIVE
dayaga,POSITIVE
yaban,POSITIVE
xuwan,POSITIVE
đađi,POSITIVE
saisaita,POSITIVE
yinmu,POSITIVE
munatare,POSITIVE
masha allh,POSITIVE
yacigaba,POSITIVE
yiyuwa,POSITIVE
qarfafa,POSITIVE
ranste,POSITIVE
kihuta,POSITIVE
sa a,POSITIVE
taxo,POSITIVE
more,POSITIVE
ladan,POSITIVE
maigafarane,POSITIVE
saurin,POSITIVE
agaisa,POSITIVE
gayu,POSITIVE
shanawa,POSITIVE
biyaki,POSITIVE
masoyin,POSITIVE
goyi bayan,POSITIVE
auro,POSITIVE
moriyar,POSITIVE
anci,POSITIVE
kakawo,POSITIVE
yatsayar,POSITIVE
insha allah️,POSITIVE
alkhairy,POSITIVE
sahun,POSITIVE
kabawa,POSITIVE
saar,POSITIVE
yajikanka,POSITIVE
yakai,POSITIVE
albarkah,POSITIVE
gdy,POSITIVE
aljannatul firdaus,POSITIVE
zartar,POSITIVE
alhamdullilahi,POSITIVE
kisamu,POSITIVE
haska,POSITIVE
tsaremu,POSITIVE
zaqin,POSITIVE
nakeso,POSITIVE
sameki,POSITIVE
nasami,POSITIVE
kinasona,POSITIVE
makurar,POSITIVE
tasa,POSITIVE
zamukai,POSITIVE
cii,POSITIVE
gareku,POSITIVE
dason,POSITIVE
mufikarfin,POSITIVE
tubanki,POSITIVE
allahu akhbar,POSITIVE
yakarbi,POSITIVE
nitsu,POSITIVE
alkhairee,POSITIVE
sauqi,POSITIVE
birgeta,POSITIVE
yabaku,POSITIVE
masoyinta,POSITIVE
zaifito,POSITIVE
magungunan,POSITIVE
anzama,POSITIVE
qarfin,POSITIVE
cikawa,POSITIVE
yatsare,POSITIVE
bayanshi,POSITIVE
kyakkyawon,POSITIVE
gafartamusu,POSITIVE
mabiya,POSITIVE
kyawawa,POSITIVE
kigwada,POSITIVE
agaishe,POSITIVE
kyau tatawa,POSITIVE
jiranki,POSITIVE
sami,POSITIVE
munemi,POSITIVE
sunbamu,POSITIVE
kugama,POSITIVE
farin jini,POSITIVE
yaxo,POSITIVE
nadaki,POSITIVE
sabbin,POSITIVE
jarumar,POSITIVE
yuwuwa,POSITIVE
kaucewa,POSITIVE
kwakkwaran,POSITIVE
zaije,POSITIVE
mutunta,POSITIVE
waliyyan,POSITIVE
kya wawan,POSITIVE
masoyiyah,POSITIVE
antaya,POSITIVE
insayamaki,POSITIVE
muradinki,POSITIVE
ngd,POSITIVE
lamuni,POSITIVE
antashi,POSITIVE
tukwicin,POSITIVE
muhuta,POSITIVE
kinfara,POSITIVE
nashiga,POSITIVE
burgeki,POSITIVE
kinchi,POSITIVE
daria,POSITIVE
qayataccen,POSITIVE
nishandatar,POSITIVE
sawa,POSITIVE
siyar,POSITIVE
anbashi,POSITIVE
kunkai,POSITIVE
gareka,POSITIVE
karfinka,POSITIVE
katsaremu,POSITIVE
kawar,POSITIVE
kashiga,POSITIVE
taimakonki,POSITIVE
tafito,POSITIVE
tashigo,POSITIVE
tsaida,POSITIVE
zakayi,POSITIVE
hankula,POSITIVE
miqo,POSITIVE
cinyemu,POSITIVE
aci,POSITIVE
taunawa,POSITIVE
riga kafi,POSITIVE
lafya,POSITIVE
yabaka,POSITIVE
yayewa,POSITIVE
fatammu,POSITIVE
taimakama,POSITIVE
kariya,POSITIVE
sahihan,POSITIVE
kagama,POSITIVE
qarfi,POSITIVE
alqawarin,POSITIVE
maganinta,POSITIVE
yayafe,POSITIVE
yahuta,POSITIVE
karbabbe,POSITIVE
yakawomuna,POSITIVE
cecemu,POSITIVE
shawarar,POSITIVE
wuff,POSITIVE
muhimmaci,POSITIVE
kyautawar,POSITIVE
zasuji,POSITIVE
kwarewa,POSITIVE
yajikanshii,POSITIVE
katausayamana,POSITIVE
kariyar,POSITIVE
madaukaki,POSITIVE
sauwaqa,POSITIVE
iyakantar,POSITIVE
jikanmu,POSITIVE
kadubemu,POSITIVE
kulawa,POSITIVE
masoyanta,POSITIVE
hakkin,POSITIVE
shagali,POSITIVE
saku,POSITIVE
kinbi,POSITIVE
tayinka,POSITIVE
hikimarsu,POSITIVE
roki,POSITIVE
daukakaki,POSITIVE
shawaran,POSITIVE
shahararren,POSITIVE
inganci,POSITIVE
roko,POSITIVE
inshaallahu,POSITIVE
yatsaremu,POSITIVE
akafi,POSITIVE
ayabamata,POSITIVE
andainashi,POSITIVE
nisha dantar,POSITIVE
kataimaka,POSITIVE
horema,POSITIVE
arzikin,POSITIVE
nisan tamu,POSITIVE
masoyan,POSITIVE
kareku,POSITIVE
tsareku,POSITIVE
imaninsu,POSITIVE
alfarman,POSITIVE
kautarmana,POSITIVE
hutawa,POSITIVE
albarkanshi,POSITIVE
fiyayyen,POSITIVE
juri,POSITIVE
ingantaccen,POSITIVE
fasaha,POSITIVE
aminan,POSITIVE
karfinshi,POSITIVE
yarike,POSITIVE
dorashii,POSITIVE
sonsu,POSITIVE
lafiyarsu,POSITIVE
raye,POSITIVE
tafiye,POSITIVE
anfanin,POSITIVE
yakaramai,POSITIVE
yaisa,POSITIVE
umurnin,POSITIVE
đauki,POSITIVE
yaƙara,POSITIVE
angirmi,POSITIVE
maamalla,POSITIVE
maigirma,POSITIVE
hakura,POSITIVE
munyii,POSITIVE
alkairin,POSITIVE
kugani,POSITIVE
arzikinsa,POSITIVE
yawadatamu,POSITIVE
nadawa,POSITIVE
ka yi,POSITIVE
ƙarhinmu,POSITIVE
garkuwa,POSITIVE
muntuba,POSITIVE
mundawo,POSITIVE
kaunan,POSITIVE
kware,POSITIVE
hutuce,POSITIVE
maganinsu,POSITIVE
shiryeki,POSITIVE
mayar,POSITIVE
hango,POSITIVE
fadawanka,POSITIVE
albarkanci,POSITIVE
ciniki,POSITIVE
parin cikin,POSITIVE
mataimaka,POSITIVE
adduoin,POSITIVE
taimakon,POSITIVE
huddubar,POSITIVE
ɗauki,POSITIVE
sako,POSITIVE
tallafin,POSITIVE
saan,POSITIVE
kayafe,POSITIVE
yarufa,POSITIVE
alkaeri,POSITIVE
masha allahu,POSITIVE
kaunarsu,POSITIVE
dangana,POSITIVE
tawan,POSITIVE
juya,POSITIVE
yimusu,POSITIVE
nakallla,POSITIVE
munyafe,POSITIVE
abinyi,POSITIVE
masoyinki,POSITIVE
hankaline,POSITIVE
yamuna,POSITIVE
tayaku,POSITIVE
warke,POSITIVE
gskiya,POSITIVE
yasada,POSITIVE
saada,POSITIVE
gafartamawa,POSITIVE
yatsari,POSITIVE
albarkan,POSITIVE
zabar,POSITIVE
inyaso,POSITIVE
akoshi,POSITIVE
jin jina,POSITIVE
wasan,POSITIVE
wucemana,POSITIVE
takaita,POSITIVE
anyiwa,POSITIVE
niyyar,POSITIVE
ingantacciyar,POSITIVE
inshallah,POSITIVE
yabiyani,POSITIVE
tallafi,POSITIVE
faranta,POSITIVE
tanadi,POSITIVE
rana,POSITIVE
iyawarka,POSITIVE
amfanar,POSITIVE
raga,POSITIVE
kunci,POSITIVE
yaji kansa,POSITIVE
shahada,POSITIVE
ladabi,POSITIVE
tsarkin,POSITIVE
kayaye,POSITIVE
darajan,POSITIVE
xinare️,POSITIVE
kunfi,POSITIVE
tallafawa,POSITIVE
anaso,POSITIVE
yafemu,POSITIVE
zabeshi,POSITIVE
hnkli,POSITIVE
soyayar,POSITIVE
rabonsa,POSITIVE
kajiqan,POSITIVE
kabasu,POSITIVE
kataimaki,POSITIVE
maficicin,POSITIVE
waiwaye,POSITIVE
sakayyarmu,POSITIVE
halacci,POSITIVE
yaqarama,POSITIVE
anasan,POSITIVE
yagafartamasa,POSITIVE
jiqan shi,POSITIVE
sunsaki,POSITIVE
maji,POSITIVE
suzo,POSITIVE
shiriya,POSITIVE
kirkiri,POSITIVE
kahada,POSITIVE
masoyanmu,POSITIVE
bukatu,POSITIVE
yafeman,POSITIVE
jinƙai,POSITIVE
goyan baya,POSITIVE
kasaukaka,POSITIVE
darajiar,POSITIVE
girmanka,POSITIVE
sundawo,POSITIVE
farincikina,POSITIVE
iyawaa,POSITIVE
dokan,POSITIVE
ibadu,POSITIVE
daukakashi,POSITIVE
alfaharina,POSITIVE
kyautatawa,POSITIVE
kirari,POSITIVE
wadatar,POSITIVE
kiyayemu,POSITIVE
sunzo,POSITIVE
hikima,POSITIVE
sumbata,POSITIVE
kakeyi,POSITIVE
sanaar,POSITIVE
qwato,POSITIVE
ji qan,POSITIVE
ƙarbi,POSITIVE
kanshi,POSITIVE
fitaccen,POSITIVE
yayemana,POSITIVE
sakayawa,POSITIVE
taimakeki,POSITIVE
yayii,POSITIVE
rahamce,POSITIVE
adalin,POSITIVE
tausayin,POSITIVE
oyoyo,POSITIVE
mafuta,POSITIVE
keson,POSITIVE
amfaneta,POSITIVE
nissan,POSITIVE
saurara,POSITIVE
al barka,POSITIVE
al farmar,POSITIVE
jiqansa,POSITIVE
jajirtacce,POSITIVE
aljannatul fiddausi,POSITIVE
hakkina,POSITIVE
gafartamasa,POSITIVE
gwanda,POSITIVE
asa,POSITIVE
rigakafin,POSITIVE
anjii,POSITIVE
kishinsa,POSITIVE
al farman,POSITIVE
yayaye,POSITIVE
gwanin,POSITIVE
mashaa allah,POSITIVE
mashallah,POSITIVE
salihai,POSITIVE
yamiki,POSITIVE
yayarda,POSITIVE
kyautaba,POSITIVE
amarya,POSITIVE
zaɓan,POSITIVE
ciyar,POSITIVE
ibadah,POSITIVE
sunso,POSITIVE
gatanmu,POSITIVE
zakama,POSITIVE
makamar,POSITIVE
barakallah,POSITIVE
kidore,POSITIVE
hadufa,POSITIVE
rahman,POSITIVE
amincin,POSITIVE
kin yi,POSITIVE
ki fi,POSITIVE
maraba,POSITIVE
wankanki,POSITIVE
ƙoƙari,POSITIVE
ameen️️,POSITIVE
qarawa,POSITIVE
dadinka,POSITIVE
karanta,POSITIVE
jikanta️,POSITIVE
maana,POSITIVE
sakeshi,POSITIVE
albishir,POSITIVE
washewa,POSITIVE
yaimiki,POSITIVE
yadatar,POSITIVE
karban,POSITIVE
rabauta,POSITIVE
rangwame,POSITIVE
fahimtarka,POSITIVE
niima,POSITIVE
lamunce,POSITIVE
nunama,POSITIVE
yakaresu,POSITIVE
sakemu,POSITIVE
kanyi,POSITIVE
yasaki,POSITIVE
damadama,POSITIVE
bikin,POSITIVE
diba,POSITIVE
gaskiyani,POSITIVE
sunkama,POSITIVE
amiin️️️,POSITIVE
kakeso,POSITIVE
haye,POSITIVE
bayar,POSITIVE
sadakar,POSITIVE
zamufito,POSITIVE
kafimu,POSITIVE
anbawa,POSITIVE
hankuri,POSITIVE
yanayin,POSITIVE
sha awar,POSITIVE
mapitah,POSITIVE
ƙarawa,POSITIVE
maganinku,POSITIVE
garkuwar,POSITIVE
kahuta,POSITIVE
sekunci,POSITIVE
isarwa,POSITIVE
saiyafi,POSITIVE
kwalliyar,POSITIVE
lpia,POSITIVE
kyakkyawar,POSITIVE
amanarmu,POSITIVE
gayama,POSITIVE
dadine,POSITIVE
gwanina,POSITIVE
yasaya,POSITIVE
kukeso,POSITIVE
kunsan,POSITIVE
kuyafe,POSITIVE
magada,POSITIVE
munfii,POSITIVE
yafemiki,POSITIVE
goyanka,POSITIVE
mun ci,POSITIVE
kaikaji,POSITIVE
riga kafin,POSITIVE
qware,POSITIVE
yasanta,POSITIVE
fadamana,POSITIVE
kusha,POSITIVE
fashimta,POSITIVE
tsawon rae,POSITIVE
gatanka,POSITIVE
kayafemana,POSITIVE
aduaa,POSITIVE
jinkan,POSITIVE
burinki,POSITIVE
sawwaqe,POSITIVE
karama,POSITIVE
qoqarin,POSITIVE
sawaka,POSITIVE
saukemana,POSITIVE
ybshi,POSITIVE
soyayyan,POSITIVE
goyo baya,POSITIVE
ango,POSITIVE
taemakeki,POSITIVE
gaskiyah,POSITIVE
yataimako,POSITIVE
farin chiki,POSITIVE
barkanku,POSITIVE
yassare,POSITIVE
biyama,POSITIVE
alhamdullah,POSITIVE
maa sha allah,POSITIVE
gogarman,POSITIVE
shagulgulan,POSITIVE
hutuchi,POSITIVE
aamen,POSITIVE
kayayewa,POSITIVE
darajjar,POSITIVE
kyeu,POSITIVE
yaba su,POSITIVE
kharain,POSITIVE
jaxakallah,POSITIVE
shalele,POSITIVE
gskyar,POSITIVE
aure️‍️‍,POSITIVE
ibadar,POSITIVE
munada,POSITIVE
alhmdlhh,POSITIVE
maganinmu,POSITIVE
mudace‍️‍️,POSITIVE
yataimake,POSITIVE
mukara,POSITIVE
yatayaka,POSITIVE
alhmdlh,POSITIVE
mafin,POSITIVE
yayikyau,POSITIVE
kugane,POSITIVE
rabona,POSITIVE
megida,POSITIVE
kashirya,POSITIVE
yataya,POSITIVE
ganar,POSITIVE
madedeciya,POSITIVE
tuban,POSITIVE
yafisu,POSITIVE
gabadai,POSITIVE
jazakallahu khair,POSITIVE
